gender,age,age_group
Male,53,40-59
Male,26,18-39
Male,22,18-39
Female,44,40-59
Female,50,40-59
Female,21,18-39
Female,64,60+
Male,53,40-59
Male,51,40-59
Female,62,60+
Female,38,18-39
Male,24,18-39
Male,74,60+
Male,90,60+
Male,42,40-59
Female,61,60+
Female,53,40-59
Female,53,40-59
Female,32,18-39
Male,42,40-59
Male,71,60+
Male,45,40-59
Male,46,40-59
Female,44,40-59
Male,29,18-39
Male,65,60+
Male,42,40-59
Female,56,40-59
Female,34,18-39
Female,38,18-39
Female,66,60+
Female,28,18-39
Male,12,0-17
Male,63,60+
Female,57,40-59
Male,42,40-59
Male,50,40-59
Female,29,18-39
Male,55,40-59
Male,65,60+
Male,50,40-59
Male,20,18-39
Male,56,40-59
Female,31,18-39
Male,80,60+
Female,42,40-59
Female,42,40-59
Female,47,40-59
Male,45,40-59
Male,47,40-59
Female,34,18-39
Male,37,18-39
Female,16,0-17
Female,47,40-59
Male,51,40-59
Male,55,40-59
Female,38,18-39
Male,35,18-39
Male,66,60+
Female,40,40-59
Male,54,40-59
Female,50,40-59
Female,38,18-39
Male,53,40-59
Male,62,60+
Female,38,18-39
Female,46,40-59
Male,50,40-59
Male,30,18-39
Female,52,40-59
Male,48,40-59
Female,14,0-17
Male,75,60+
Male,18,18-39
Male,34,18-39
Male,5,0-17
Male,33,18-39
Male,43,40-59
Female,52,40-59
Male,18,18-39
Male,49,40-59
Male,44,40-59
Female,42,40-59
Male,62,60+
Male,33,18-39
Female,69,60+
Male,39,18-39
Male,48,40-59
Female,40,40-59
Male,24,18-39
Male,53,40-59
Female,55,40-59
Male,33,18-39
Female,25,18-39
Female,62,60+
Female,31,18-39
Female,54,40-59
Male,17,0-17
Male,63,60+
Female,44,40-59
Female,48,40-59
Male,18,18-39
Female,39,18-39
Male,71,60+
Female,55,40-59
Female,51,40-59
Female,85,60+
Male,51,40-59
Male,34,18-39
Male,51,40-59
Male,52,40-59
Male,64,60+
Female,50,40-59
Female,33,18-39
Female,19,18-39
Male,11,0-17
Female,36,18-39
Male,40,40-59
Female,30,18-39
Female,76,60+
Male,58,40-59
Male,50,40-59
Male,37,18-39
Female,37,18-39
Female,72,60+
Male,20,18-39
Female,34,18-39
Female,37,18-39
Female,62,60+
Female,68,60+
Female,41,40-59
Male,25,18-39
Female,43,40-59
Male,54,40-59
Female,27,18-39
Female,22,18-39
Female,68,60+
Female,9,0-17
Female,25,18-39
Male,7,0-17
Male,39,18-39
Female,30,18-39
Female,68,60+
Male,34,18-39
Female,35,18-39
Female,65,60+
Male,35,18-39
Male,38,18-39
Male,74,60+
Male,56,40-59
